Label,Description,Expression,DRIVEALONE,SHAREDRIDE2,SHAREDRIDE3,WALK,BIKE,WALK_TRANSIT,PNR_TRANSIT,KNR_TRANSIT,TNC_TRANSIT,TAXI,TNC_SINGLE,TNC_SHARED,SCHBUS
util_Walk_to_Transit_Zero_auto,Walk to Transit - Zero auto,@(df.is_indiv & (df.auto_ownership == 0)),,,,,,walk_transit_ASC_no_auto,,,,,,,
util_Walk_to_Transit_Auto_deficient,Walk to Transit - Auto deficient,@(df.is_indiv & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,,walk_transit_ASC_auto_deficient,,,,,,,
util_Walk_to_Transit_Auto_sufficient,Walk to Transit - Auto sufficient,@(df.is_indiv & (df.auto_ownership >= df.num_workers)),,,,,,walk_transit_ASC_auto_sufficient,,,,,,,
util_Drive_to_Transit_Zero_auto,Drive to Transit - Zero auto,@(df.is_indiv & (df.auto_ownership == 0)),,,,,,,pnr_transit_ASC_no_auto,knr_transit_ASC_no_auto,tnc_transit_ASC_no_auto,,,,
util_Drive_to_Transit_Auto_deficient,Drive to Transit - Auto deficient,@(df.is_indiv & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,,,pnr_transit_ASC_auto_deficient,knr_transit_ASC_auto_deficient,tnc_transit_ASC_auto_deficient,,,,
util_Drive_to_Transit_Auto_sufficient,Drive to Transit - Auto sufficient,@(df.is_indiv & (df.auto_ownership >= df.num_workers)),,,,,,,pnr_transit_ASC_auto_sufficient,knr_transit_ASC_auto_sufficient,tnc_transit_ASC_auto_sufficient,,,,
util_Metrarail,Use Metrarail,(wt_metrarail_ivt_skims_out + wt_metrarail_ivt_skims_inb) > 0,,,,,,Metrarail_ASC,Metrarail_ASC,Metrarail_ASC,Metrarail_ASC,,,,
util_CTArail,Use CTArail,(wt_ctarail_ivt_skims_out + wt_ctarail_ivt_skims_inb) > 0,,,,,,CTArail_ASC,CTArail_ASC,CTArail_ASC,CTArail_ASC,,,,
util_Express_bus,Use Express Bus,(wt_busexp_ivt_skims_out + wt_busexp_ivt_skims_inb) > 0,,,,,,Express_bus_ASC,Express_bus_ASC,Express_bus_ASC,Express_bus_ASC,,,,
util_Taxi_Zero_auto,Taxi - Zero auto,@(df.is_indiv & (df.auto_ownership == 0)),,,,,,,,,,taxi_ASC_no_auto,,,
util_Taxi_Auto_deficient,Taxi - Auto deficient,@(df.is_indiv & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,,,,,,taxi_ASC_auto_deficient,,,
util_Taxi_Auto_sufficient,Taxi - Auto sufficient,@(df.is_indiv & (df.auto_ownership >= df.num_workers)),,,,,,,,,,taxi_ASC_auto_sufficient,,,
util_TNC_Single_Zero_auto,TNC Single - Zero auto,@(df.is_indiv & (df.auto_ownership == 0)),,,,,,,,,,,tnc_single_ASC_no_auto,,
util_TNC_Single_Auto_deficient,TNC Single - Auto deficient,@(df.is_indiv & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,,,,,,,tnc_single_ASC_auto_deficient,,
util_TNC_Single_Auto_sufficient,TNC Single - Auto sufficient,@(df.is_indiv & (df.auto_ownership >= df.num_workers)),,,,,,,,,,,tnc_single_ASC_auto_sufficient,,
util_TNC_Shared_Zero_auto,TNC Shared - Zero auto,@(df.is_indiv & (df.auto_ownership == 0)),,,,,,,,,,,,tnc_shared_ASC_no_auto,
util_TNC_Shared_Auto_deficient,TNC Shared - Auto deficient,@(df.is_indiv & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,,,,,,,,tnc_shared_ASC_auto_deficient,
util_TNC_Shared_Auto_sufficient,TNC Shared - Auto sufficient,@(df.is_indiv & (df.auto_ownership >= df.num_workers)),,,,,,,,,,,,tnc_shared_ASC_auto_sufficient,
#,joint tour ASCs,,,,,,,,,,,,,, 
util_Joint_Walk_ASC_Zero_auto,Joint - Walk ASC - Zero auto,@(df.is_joint & (df.auto_ownership == 0)),,,,coef_joint_walk,,,,,,,,,
util_Joint_Walk_ASC_Auto_deficient,Joint - Walk ASC - Auto deficient,@(df.is_joint & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,coef_joint_walk,,,,,,,,,
util_Joint_Walk_ASC_Auto_sufficient,Joint - Walk ASC - Auto sufficient,@(df.is_joint & (df.auto_ownership >= df.num_workers)),,,,coef_joint_walk,,,,,,,,,
util_Joint_Bike_ASC_Zero_auto,Joint - Bike ASC - Zero auto,@(df.is_joint & (df.auto_ownership == 0)),,,,,coef_joint_bike,,,,,,,,
util_Joint_Bike_ASC_Auto_deficient,Joint - Bike ASC - Auto deficient,@(df.is_joint & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,coef_joint_bike,,,,,,,,
util_Joint_Bike_ASC_Auto_sufficient,Joint - Bike ASC - Auto sufficient,@(df.is_joint & (df.auto_ownership >= df.num_workers)),,,,,coef_joint_bike,,,,,,,,
#util_Joint_Shared_ride_2_ASC_Zero_auto,Joint - Shared ride 2 - Zero auto,@(df.is_joint & (df.auto_ownership == 0)),,coef_joint_sr2,,,,,,,,,,,
#util_Joint_Shared_ride_2_ASC_Auto_deficient,Joint - Shared ride 2 - Auto deficient,@(df.is_joint & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,coef_joint_sr2,,,,,,,,,,,
#util_Joint_Shared_ride_2_ASC_Auto_sufficient,Joint - Shared ride 2 - Auto sufficient,@(df.is_joint & (df.auto_ownership >= df.num_workers)),,coef_joint_sr2,,,,,,,,,,,
util_Joint_Shared_ride_3p_Zero_auto,Joint - Shared ride 3+ - Zero auto,@(df.is_joint & (df.auto_ownership == 0)),,,coef_joint_sr3p,,,,,,,,,,
util_Joint_Shared_ride_3p_Auto_deficient,Joint - Shared ride 3+ - Auto deficient,@(df.is_joint & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,coef_joint_sr3p,,,,,,,,,,
util_Joint_Shared_ride_3p_Auto_sufficient,Joint - Shared ride 3+ - Auto sufficient,@(df.is_joint & (df.auto_ownership >= df.num_workers)),,,coef_joint_sr3p,,,,,,,,,,
util_Joint_Walk_to_Transit_Zero_auto,Joint - Walk to Transit - Zero auto,@(df.is_joint & (df.auto_ownership == 0)),,,,,,coef_joint_walk_transit,,,,,,,
util_Joint_Walk_to_Transit_Auto_deficient,Joint - Walk to Transit - Auto deficient,@(df.is_joint & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,,coef_joint_walk_transit,,,,,,,
util_Joint_Walk_to_Transit_Auto_sufficient,Joint - Walk to Transit - Auto sufficient,@(df.is_joint & (df.auto_ownership >= df.num_workers)),,,,,,coef_joint_walk_transit,,,,,,,
util_Joint_Drive_to_Transit_Zero_auto,Joint - Drive to Transit - Zero auto,@(df.is_joint & (df.auto_ownership == 0)),,,,,,,coef_joint_pnr_transit,coef_joint_knr_transit,coef_joint_tnc_transit,,,,
util_Joint_Drive_to_Transit_Auto_deficient,Joint - Drive to Transit - Auto deficient,@(df.is_joint & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,,,coef_joint_pnr_transit,coef_joint_knr_transit,coef_joint_tnc_transit,,,,
util_Joint_Drive_to_Transit_Auto_sufficient,Joint - Drive to Transit - Auto sufficient,@(df.is_joint & (df.auto_ownership >= df.num_workers)),,,,,,,coef_joint_pnr_transit,coef_joint_knr_transit,coef_joint_tnc_transit,,,,
util_Joint_Taxi_Zero_auto,Joint - Taxi - Zero auto,@(df.is_joint & (df.auto_ownership == 0)),,,,,,,,,,coef_joint_taxi,,,
util_Joint_Taxi_Auto_deficient,Joint - Taxi - Auto deficient,@(df.is_joint & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,,,,,,coef_joint_taxi,,,
util_Joint_Taxi_Auto_sufficient,Joint - Taxi - Auto sufficient,@(df.is_joint & (df.auto_ownership >= df.num_workers)),,,,,,,,,,coef_joint_taxi,,,
util_Joint_TNC_Single_Zero_auto,Joint - TNC Single - Zero auto,@(df.is_joint & (df.auto_ownership == 0)),,,,,,,,,,,coef_joint_tnc_single,,
util_Joint_TNC_Single_Auto_deficient,Joint - TNC Single - Auto deficient,@(df.is_joint & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,,,,,,,coef_joint_tnc_single,,
util_Joint_TNC_Single_Auto_sufficient,Joint - TNC Single - Auto sufficient,@(df.is_joint & (df.auto_ownership >= df.num_workers)),,,,,,,,,,,coef_joint_tnc_single,,
util_Joint_TNC_Shared_Zero_auto,Joint - TNC Shared - Zero auto,@(df.is_joint & (df.auto_ownership == 0)),,,,,,,,,,,,coef_joint_tnc_shared,
util_Joint_TNC_Shared_Auto_deficient,Joint - TNC Shared - Auto deficient,@(df.is_joint & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,,,,,,,,coef_joint_tnc_shared,
util_Joint_TNC_Shared_Auto_sufficient,Joint - TNC Shared - Auto sufficient,@(df.is_joint & (df.auto_ownership >= df.num_workers)),,,,,,,,,,,,coef_joint_tnc_shared,
util_Walk_to_Transit_dest_CBD,Walk to Transit dest CBD,@df.destination_in_cbd,,,,,,walk_transit_CBD_ASC,,,,,,,
util_Drive_to_Transit_dest_CBD,Drive to Transit dest CBD,@df.destination_in_cbd,,,,,,,pnr_transit_CBD_ASC,knr_transit_CBD_ASC,tnc_transit_CBD_ASC,,,,
util_Walk_not_available_for_long_distances,Walk not available for long distances,@(od_skims['DISTWALK'] > max_walk_distance),,,,-999,,,,,,,,,
util_Bike_not_available_for_long_distances,Bike not available for long distances,@(od_skims['DISTBIKE'] > max_bike_distance),,,,,-999,,,,,,,,
util_Drive_alone_not_available_for_escort_tours,Drive alone not available for escort tours,is_escort,-999,,,,,,,,,,,,
##, max(c_densityIndexOrigin*originDensityIndex,originDensityIndexMax),,,,,,,,,1,1,,,
