Label,Description,Expression,DRIVEALONE,SHAREDRIDE2,SHAREDRIDE3,WALK,BIKE,WALK_TRANSIT,PNR_TRANSIT,KNR_TRANSIT,TNC_TRANSIT,TAXI,TNC_SINGLE,TNC_SHARED,SCHBUS
util_TNC_Shared_Wait_time,TNC Shared - Wait time,@df.origSharedTNCWaitTime * df.time_factor,,,,,,,,,,,,coef_iwait,
util_TNC_Shared_Tolls,TNC Shared - Tolls,"@df.s2_cost_skims * 100/(np.maximum(df.income,1000)**df.income_exponent)",,,,,,,,,,,,coef_inc_adj_cost,
util_TNC_Shared_Cost,TNC Shared - Cost,"@np.maximum(TNC_shared_baseFare+df.s2_dist_skims*TNC_shared_costPerMile+df.s2_time_skims*TNC_shared_costPerMinute,TNC_shared_costMinimum)*100/(np.maximum(df.income,1000)**df.income_exponent)",,,,,,,,,,,,coef_inc_adj_cost,
#SCHBUS ,,,,,,,,,,,,,,,
util_SCHBUS_In_vehicle_time,School bus - In-vehicle time,@df.s3_dist_skims * 60 / schbusSpeed * df.time_factor,,,,,,,,,,,,,coef_ivt
util_SCHBUS_Walk_time,School Bus - Walk time asserted,10,,,,,,,,,,,,,coef_walktime
util_SCHBUS_Wait_time,School Bus - Wait time asserted,10,,,,,,,,,,,,,coef_iwait
#Tour mode constraints,,,,,,,,,,,,,,,
#util_tour_mode_is_auto,Auto tour mode availability,tour_mode_is_auto,,,,,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable
util_tour_mode_is_SOV,SOV tour mode availability,tour_mode_is_SOV,,coef_unavailable,coef_unavailable,,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable
util_tour_mode_is_SR2,SR2 tour mode availability,tour_mode_is_SR2,,,coef_unavailable,,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable
util_tour_mode_is_SR3,SR3 tour mode availability,tour_mode_is_SR3,,,,,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable
util_tour_mode_is_walk,Walk tour mode availability,tour_mode_is_walk,coef_unavailable,coef_unavailable,coef_unavailable,,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable
util_tour_mode_is_bike,Bike tour mode availability,tour_mode_is_bike,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable
util_tour_mode_is_walk_transit,Walk Transit tour mode availability,tour_mode_is_walk_transit,coef_unavailable,coef_unavailable,coef_unavailable,,coef_unavailable,,coef_unavailable,coef_unavailable,coef_unavailable,,,,coef_unavailable
util_tour_mode_is_pnr_transit,PNR Transit tour modes availability,tour_mode_is_pnr_transit,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,,coef_unavailable,coef_unavailable,-10,-10,-10,coef_unavailable
util_tour_mode_is_knr_transit,KNR Transit tour modes availability,tour_mode_is_knr_transit,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,,coef_unavailable,-10,-10,-10,coef_unavailable
util_tour_mode_is_tnc_transit,TNC Transit tour modes availability,tour_mode_is_tnc_transit,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,,,,,coef_unavailable
util_tour_mode_is_ride_hail,Ride hail tour modes availability,@df.tour_mode_is_ride_hail,coef_unavailable,,,,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,,,,coef_unavailable
util_tour_mode_is_SCHBUS,SCHBUS tour modes availability,tour_mode_is_schbus,coef_unavailable,,,,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,coef_unavailable,
#indiv tour ASCs,,,,,,,,,,,,,,,
util_Drive_Alone_tour_mode_ASC,Drive Alone tour mode ASC,@(df.is_indiv & df.i_tour_mode.isin(I_SOV_MODES)),,,,sov_ASC_walk,,,,,,,,,
util_Shared_Ride_2_tour_mode_ASC,Shared Ride 2 tour mode ASC ,@(df.is_indiv & df.i_tour_mode.isin(I_SR2_MODES)),sr2_ASC_sov,,,sr2_ASC_walk,,,,,,,,,
util_Shared_Ride_3_tour_mode_ASC,Shared Ride 3+ tour mode ASC,@(df.is_indiv & df.i_tour_mode.isin(I_SR3P_MODES)),sr3p_ASC_sov,sr3p_ASC_sr2,,sr3p_ASC_walk,,,,,,,,,
util_Walk_Transit_tour_mode_ASC,Walk Transit tour mode ASC,@df.is_indiv & df.tour_mode_is_walk_transit,,,,walk_transit_ASC_walk,,,,,,walk_transit_ASC_taxi,walk_transit_ASC_tnc_single,walk_transit_ASC_tnc_shared,
util_TNC_Transit_tour_mode_ASC,TNC Transit tour mode ASC,@df.is_indiv & df.tour_mode_is_tnc_transit,,,,,,,,,,tnc_transit_ASC_taxi,tnc_transit_ASC_tnc_single,tnc_transit_ASC_tnc_shared,
util_Ride_Hail_tour_mode_ASC,Ride Hail tour mode ASC,@(df.is_indiv & df.tour_mode_is_ride_hail),,ride_hail_ASC_sr2,ride_hail_ASC_sr3p,ride_hail_ASC_walk,,,,,,ride_hail_ASC_taxi,,ride_hail_ASC_tnc_shared,
#joint tour ASCs,,,,,,,,,,,,,,,
util_joint_Shared_Ride_2_tour_mode_ASC,joint - sr2 tour mode ASC,@(df.is_joint & df.i_tour_mode.isin(I_SR2_MODES)),,,,joint_sr2_ASC_walk,,,,,,,,,
util_joint_Shared_Ride_3+_tour_mode_ASC,joint - sr3p tour mode ASC,@(df.is_joint & df.i_tour_mode.isin(I_SR3P_MODES)),,joint_sr3p_ASC_sr2,,joint_sr3p_ASC_walk,,,,,,,,,
util_joint_Walk_to_Transit_tour_mode_ASC,joint - Walk to Transit tour mode ASC,@(df.is_joint & df.tour_mode_is_walk_transit),,joint_walk_transit_ASC_sr2,joint_walk_transit_ASC_sr3p,joint_walk_transit_ASC_walk,,,,,,joint_walk_transit_ASC_taxi,joint_walk_transit_ASC_tnc_single,joint_walk_transit_ASC_tnc_shared,
util_joint_Drive_to_Transit_tour_mode_ASC,joint - Drive to Transit tour mode ASC,@(df.is_joint & df.tour_mode_is_pnr_transit),,,,,,,,,,joint_drive_transit_ASC_taxi,joint_drive_transit_ASC_tnc_single,joint_drive_transit_ASC_tnc_shared,
util_joint_Ride_Hail_tour_mode_ASC,joint - Ride Hail tour mode ASC,@(df.is_joint & df.tour_mode_is_ride_hail),,joint_ride_hail_ASC_sr2,joint_ride_hail_ASC_sr3p,joint_ride_hail_ASC_walk,,,,,,joint_ride_hail_ASC_taxi,joint_ride_hail_ASC_tnc_single,,
#,#,,,,,,,,,,,,,,
util_Walk_not_available_for_long_distances,Walk not available for long distances,@(od_skims['DISTWALK'] > max_walk_distance),,,,-10,,,,,,,,,
util_Bike_not_available_for_long_distances,Bike not available for long distances,@(od_skims['DISTBIKE'] > max_bike_distance),,,,,-10,,,,,,,,
util_origin_density_index,Origin density index,@coef_origin_density_applied*(origin_density_index_multiplier*df.origin_density_index).clip(origin_density_index_max),,,,,,coef_ivt,coef_ivt,coef_ivt,coef_ivt,,coef_ivt,coef_ivt,
#util_walk_express_penalty,Walk-express penalty for intermediate stops,@walk_express_penalty * ~(df.first_trip | df.first_trip),,,,,,,,,,,,,
util_adjust_tnc_shared,TNC shared adjustment,@adjust_tnc_shared,,,,,,,,,,,,coef_ivt,
util_schbus_trip_not_tour,non-school bus trips on a school bus tour,tour_mode_is_schbus,coef_unavailable,schbus_ASC_sbtourntrip_sr2,schbus_ASC_sbtourntrip_sr3,schbus_ASC_sbtourntrip_walk,coef_unavailable,schbus_ASC_sbtourntrip_trnw,coef_unavailable,schbus_ASC_sbtourntrip_trnknr,schbus_ASC_sbtourntrip_trntnc,schbus_ASC_sbtourntrip_taxi,schbus_ASC_sbtourntrip_tncsingle,schbus_ASC_sbtourntrip_tncshared,
#SCHBUS,,,,,,,,,,,,,,,
util_SCHBUS_asc,school_tour,,,,,,,,,,,,,schbus_ASC,
util_schbus_notschooltour,,~school_tour,,,,,,,,,,,,,coef_unavailable
util_schbus_notschbustour,,~tour_mode_is_schbus,,,,,,,,,,,,,coef_unavailable
